name,artist,release_date,length,featured_artists
Life in the Fast Lane - 2013 Remaster,Eagles,01/01/1976,4770316667,"Jackson Browne, Wild Cherry, Lynyrd Skynyrd, Thin Lizzy, Bruce Springsteen"
Come Out And Play (Keep ‘Em Separated),The Offspring,01/01/2005,3296666667,"Matchbox Twenty, Gorillaz, The Chiffons"
Moondance - 2013 Remaster,Van Morrison,01/01/1970,4567333333,"The Beatles, The Beatles, Crosby, Stills & Nash, Harry Nilsson, Elvis Presley"
Float On,Modest Mouse,01/01/2004,3474433333,"Metallica, Linkin Park, My Chemical Romance"
Everybody Hurts,R.E.M.,01/01/1992,5337766667,"Guns N' Roses, Bryan Adams"
Summer Of '69,Bryan Adams,01/01/1984,3600883333,
God Only Knows - Remastered,The Beach Boys,01/01/1966,1907-11-23,"Joni Mitchell, The Byrds"
Dani California,Red Hot Chili Peppers,01/01/2006,4702666667,"The Strokes, Kid Rock"
Rhiannon,Fleetwood Mac,01/01/1975,4212883333,"Billy Joel, Jethro Tull, Elton John, Don McLean"
Tears in Heaven - Acoustic; Live at MTV Unplugged,Eric Clapton,01/01/1992,4666666667,
Message In A Bottle,The Police,01/01/1979,1913-03-30,
Heartbreaker - 1990 Remaster,Led Zeppelin,01/01/1969,3059-08-26,"The Beatles, The Supremes, Elton John, The Yardbirds, The Doors"
Don't Speak,No Doubt,01/01/1995,4392666667,"U2, TOOL, Nirvana"
Dazed and Confused - 1990 Remaster,Led Zeppelin,01/01/1969,3663-01-31,
Hello,The Doors,01/01/1968,2.22,"Jimi Hendrix, Nancy Sinatra, The Spencer Davis Group, George Harrison"
Take It Easy - 2013 Remaster,Eagles,01/01/1972,3526283333,"Yusuf / Cat Stevens, Black Sabbath, Hot Chocolate, The Doors, Alice Cooper"
Beast Of Burden - Remastered,The Rolling Stones,01/01/1978,3110-01-11,"Yes, Bob Dylan, The Clash"
Man in the Box,Alice In Chains,01/01/1990,4753333333,"Depeche Mode, The B-52's, Bon Jovi"
Ohio,Crosby,01/01/1974,3062216667,David Bowie
I Won't Back Down,Tom Petty,01/01/1989,2972666667,"Blind Melon, Phil Collins, Scorpions, Weezer"
War Pigs / Luke's Wall - 2012 - Remaster,Black Sabbath,01/01/1970,7905983333,"The Beatles, Parliament, The Velvet Underground, Steely Dan"
Solsbury Hill,Peter Gabriel,01/01/1977,4357333333,The Cure
Legs - 2008 Remaster,ZZ Top,01/01/1983,5651-04-01,"Van Halen, David Lee Roth, The Smiths, Ramones, R.E.M."
Are You Gonna Be My Girl,Jet,01/01/2003,3563333333,Limp Bizkit
Say It Ain't So,Weezer,01/01/1994,4313766667,
She Sells Sanctuary,The Cult,01/01/2000,4208883333,No Doubt
Iron Man - 2012 - Remaster,Black Sabbath,01/01/1970,5921716667,"David Bowie, Bob Dylan, Cream, Chicago, The Beatles"
Cannonball,The Breeders,01/01/1993,2875-02-11,"The Verve, The Cure, Primal Scream, Metallica, Orgy"
Maybe I'm Amazed - Live,Paul McCartney,01/01/2003,4808883333,
Can't Stop,Red Hot Chili Peppers,01/01/2002,4483333333,"AFI, System Of A Down, Kenny Loggins, Linkin Park, Jet"
She Loves You - Mono / Remastered,The Beatles,01/01/2000,2348666667,
Hash Pipe,Weezer,01/01/2001,3108883333,"TOOL, The Strokes, Dashboard Confessional, Live, Nirvana"
Hallelujah,Jeff Buckley,01/01/1994,6888666667,
Bad To The Bone,George Thorogood & The Destroyers,01/01/1982,3233-03-26,"Bryan Adams, Metallica"
Freak On a Leash,Korn,01/01/1998,4262216667,
Somebody Told Me,The Killers,01/01/2004,1908-12-29,"Breaking Benjamin, Nine Days, New Found Glory, System Of A Down"
Reelin' In The Years,Steely Dan,01/01/1972,5911-04-01,"Black Sabbath, Boston, George Harrison"
Band On The Run - Remastered 2010,Wings,01/01/1973,2171-05-01,"Elton John, 10cc, Dragon, Led Zeppelin, The Beatles"
Enjoy the Silence - Single Mix,Depeche Mode,01/01/1990,4288883333,"Metallica, Anthrax"
Mr. Jones,Counting Crows,01/01/1993,4538216667,"Aerosmith, System Of A Down, Metallica"
Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,01/01/1965,2078216667,"Blind Faith, David Bowie"
Self Esteem,The Offspring,01/01/2005,1911-10-05,"Deee-Lite, The Killers, The Temper Trap, Avenged Sevenfold, Linkin Park"
All the Young Dudes,Mott The Hoople,01/01/1972,3517766667,"Elton John, Creedence Clearwater Revival, Led Zeppelin, Queen"
The Logical Song - Remastered 2010,Supertramp,01/01/1979,3046-07-05,
Ticket To Ride - Remastered 2009,The Beatles,01/01/1965,3161333333,"Derek & The Dominos, Bob Seger"
Disarm - Remastered,The Smashing Pumpkins,01/01/1993,2798-07-05,"Yo La Tengo, Pearl Jam"
What's My Age Again?,blink-182,01/01/1999,2476216667,"Schtum, Shania Twain, Queen"
Fly Away,Lenny Kravitz,01/01/1998,3688866667,"Powerman 5000, Audioslave, Deftones, blink-182, Neutral Milk Hotel"
Starlight,Muse,01/01/2006,2996-02-17,"Evanescence, The Red Jumpsuit Apparatus, Thirty Seconds To Mars, Foster The People, All That Remains"
Fool in the Rain - 1990 Remaster,Led Zeppelin,01/01/1979,6214883333,"Van Halen, Dire Straits, The Psychedelic Furs, Twisted Sister"
I Heard It Through The Grapevine,Marvin Gaye,01/01/1968,3238216667,"Bee Gees, The Beatles"
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,01/01/2008,4.56,
Daughter (Remastered),Pearl Jam,01/01/1993,2969-04-19,
Rooster,Alice In Chains,01/01/1992,6238883333,"Jon Bon Jovi, Yo La Tengo"
Runnin' Down A Dream,Tom Petty,01/01/2019,3094-09-11,Green Day
Heart Of Glass - Special Mix,Blondie,01/01/2002,4537766667,Manic Street Preachers
I Can't Explain - Mono Version,The Who,01/01/1965,2088666667,"Procol Harum, The Rolling Stones"
You Give Love A Bad Name,Bon Jovi,01/01/1986,3711766667,"Guns N' Roses, Van Halen, Tom Cochrane"
Down with the Sickness,Disturbed,01/01/2010,6451-04-01,"Billy Talent, Breaking Benjamin"
You Really Got Me - 2015 Remaster,Van Halen,01/01/1978,2602433333,Cheap Trick
The Pot,TOOL,01/01/2006,6365766667,
Fell In Love With a Girl,The White Stripes,01/01/2001,1834883333,Jet
Old Time Rock & Roll,Bob Seger,01/01/1978,3235766667,"The Doobie Brothers, Dire Straits"
Gimme Some Lovin' - Single Mix,The Spencer Davis Group,01/01/1966,2980666667,"Elvis Presley, Marvin Gaye, Mountain"
Jack & Diane,John Mellencamp,01/01/1982,3061-04-17,"Bob Marley & The Wailers, Eric Clapton"
Werewolves of London - 2007 Remaster,Warren Zevon,01/01/1978,4911-03-01,Jimmy Buffett
My Sharona,The Knack,01/01/1979,4923333333,"The Cars, Boston, The Clash, Queen, Elton John"
My Hero,Foo Fighters,01/01/1997,4333766667,"Natalie Imbruglia, Trapt, The Presidents Of The United States Of America, Jimmy Eat World"
Tutti Frutti,Little Richard,01/01/1957,2403766667,
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,01/01/1976,5020433333,"Bob Seger, Steve Harley, The Rolling Stones"
Hush,Deep Purple,01/01/1968,4416216667,
Down On The Corner,Creedence Clearwater Revival,01/01/1969,2771333333,
The Beautiful People,Marilyn Manson,01/01/1996,6471-03-01,"Pearl Jam, Spin Doctors, Journey, Butthole Surfers, Santana"
Jailhouse Rock,Elvis Presley,01/01/1958,2441333333,"Booker T. & the M.G.'s, Little Richard, Roy Orbison, Ray Charles, The Beatles"
Break on Through (To the Other Side),The Doors,01/01/1967,4311-02-01,Chicago
Longview,Green Day,01/01/1994,3887333333,"Collective Soul, Alanis Morissette, Pearl Jam"
Billie Jean,Michael Jackson,01/01/1982,8971-04-01,"Heart, Eurythmics, Bryan Adams, Wham!, The Knack"
Zombie,The Cranberries,01/01/1994,1071-05-01,"Nirvana, Macy Gray, Phil Collins, Bon Jovi, 4 Non Blondes"
Boys Don't Cry,The Cure,01/01/1979,2611-09-24,"Van Halen, Bob Seger, Talk Talk"
What I Got,Sublime,01/01/1996,2848433333,"Pantera, The Beatles, Nirvana, Wet Wet Wet, TOOL"
Here Comes The Sun - Remastered 2009,The Beatles,01/01/1969,2747-07-13,"Steve Miller Band, The Rolling Stones"
Do You Feel Like We Do,Peter Frampton,01/01/1996,1391443333,R.E.M.
Piano Man,Billy Joel,01/01/1973,5.65,The Velvet Underground
Glycerine - Remastered,Bush,01/01/1994,3116-01-20,
D'yer Mak'er - Remaster,Led Zeppelin,01/01/1973,4379133333,"The Rolling Stones, David Bowie, Van Halen"
Island In The Sun,Weezer,01/01/2001,3338433333,"My Chemical Romance, Blur"
Run to the Hills - 2015 Remaster,Iron Maiden,01/01/1982,3891766667,
Roundabout - 2003 Remaster,Yes,01/01/1971,4229-10-31,
Aerials,System Of A Down,01/01/2001,2972-08-01,
About A Girl,Nirvana,01/01/2002,2777333333,"Natalie Imbruglia, Limp Bizkit, Rancid, Savage Garden, The Offspring"
When You Were Young,The Killers,01/01/2006,3673766667,
Brain Damage / Eclipse,Vitamin String Quartet,01/01/2003,3325-03-24,
When Doves Cry,Prince,01/01/1984,5881766667,"Living Colour, U2, Dead Kennedys, Pretenders"
Cinnamon Girl,The Crazy Horses,01/01/2013,2.89,"Rock Angels, Marvin Gaye, Ty Segall, Goldfrapp, The Karaoke Channel"
Us and Them,Pink Floyd,01/01/1973,8204-07-01,"Al Green, Santana, Led Zeppelin, Bill Withers"
Foreplay / Long Time,Boston,01/01/1976,1921-05-03,"Electric Light Orchestra, Linda Ronstadt, Murray Head, Peter Frampton"
Dreams,Fleetwood Mac,01/01/1988,4240883333,
Psycho Killer - 2005 Remaster,Talking Heads,01/01/1977,4356883333,"The Police, Foreigner, Fleetwood Mac"
Subterranean Homesick Blues,Bob Dylan,01/01/1965,2354883333,
Alive - 2006 Remaster,P.O.D.,01/01/2006,3394883333,"Arctic Monkeys, Hot Action Cop"
I Can See For Miles,The Who,01/01/1967,4143633333,Smokey Robinson & The Miracles
Panama - 2015 Remaster,Van Halen,01/01/1984,3503766667,"Twisted Sister, Living Colour, Iron Maiden, Pretenders"
Just like Heaven,The Cure,01/01/1987,3533333333,"John Mellencamp, Pantera, Megadeth"
Hot for Teacher - 2015 Remaster,Van Halen,01/01/1984,4712433333,Neil Young
Spoonman,Soundgarden,01/01/1994,4115333333,Radiohead
Tush - 2006 Remaster,ZZ Top,01/01/1975,2298883333,Australian Crawl
Feel Good Inc.,Gorillaz,01/01/2005,3710666667,Gloria Gaynor
Eight Miles High,The Byrds,01/01/1966,3577333333,"Cream, Jethro Tull, The Beatles"
Hurricane,Bob Dylan,01/01/1976,4239-09-09,"KISS, Lynyrd Skynyrd, Steely Dan, ABBA, KISS"
Your Song,Elton John,01/01/1970,4029766667,"John Lennon, Otis Redding, Led Zeppelin"
Oye Como Va,Santana,01/01/1970,4282216667,
Janie's Got A Gun,Aerosmith,01/01/1994,5493766667,"Orgy, Butthole Surfers, Beck"
Life's Been Good,Joe Walsh,01/01/1978,9371-08-01,Jim Croce
Waterloo Sunset - Mono Mix,The Kinks,01/01/1967,3236933333,"Eagles, Cream, Steely Dan, The Doors, The Lovin' Spoonful"
Frankenstein,Edgar Winter,01/01/2002,4.76,"Green Day, Cake, Fuel, Elvis Presley, Bernard Fanning"
Let's Stay Together,Al Green,01/01/1972,3323266667,"Otis Redding, Foreigner, Barry Manilow, Heart"
Radio Free Europe,R.E.M.,01/01/1983,4086666667,"The Cult, Def Leppard"
Fly Like An Eagle,Steve Miller Band,01/01/1976,3189-12-22,"Wild Cherry, The Rolling Stones"
Use Somebody,Kings of Leon,01/01/2008,1910-07-12,"fun., Gorillaz, The Black Keys, Sara Bareilles"
Kryptonite,3 Doors Down,01/01/2000,3898883333,Audioslave
Penny Lane - Remastered 2009,The Beatles,01/01/1967,3014883333,"Al Green, Janis Joplin, David Bowie, Frankie Valli & The Four Seasons"
Night Moves,Bob Seger,01/01/1976,5407033333,
Yellow Ledbetter,Pearl Jam,01/01/1991,5059766667,Heart
Where It's At,Beck,01/01/1996,5515766667,"The Beta Band, Drowning Pool, Sublime, Days Of The New, Badly Drawn Boy"
Call Me,Blondie,01/01/2004,5371-03-01,"Rage Against The Machine, The Flaming Lips, Yellowcard, U2, Muse"
California Dreamin' - Single Version,The Mamas & The Papas,01/01/1966,2706216667,"The Band, The Who"
Bat Out of Hell,Meat Loaf,01/01/1977,9833333333,"U2, KISS"
Like a Prayer,Madonna,01/01/2009,5711333333,"The Strokes, Kings of Leon, Deee-Lite"
The Unforgiven,Metallica,01/01/1991,6452216667,
Purple Rain,Prince,01/01/1984,8679766667,
Love In An Elevator - Single Version,Aerosmith,01/01/1994,5363766667,"Everclear, Bush, Van Halen, blink-182, The Stranglers"
Blurry,Puddle Of Mudd,01/01/2001,5066666667,"Alien Ant Farm, The Strokes, Linkin Park, My Chemical Romance"
The Sound of Silence - Acoustic Version,Simon & Garfunkel,01/01/1964,3090216667,"Jefferson Airplane, Bob Dylan"
Miss You - Live,The Rolling Stones,01/01/2019,1636443333,"Ghost King, Amparanoia, Block Buster"
Slither,Velvet Revolver,01/01/2004,4138433333,"Papa Roach, Sum 41, Linkin Park, Limp Bizkit"
Gimme All Your Lovin',ZZ Top,01/01/1992,3999766667,The Rolling Stones
Cochise,Audioslave,01/01/2002,3700433333,"Arctic Monkeys, Queens of the Stone Age, Paramore, Junior Senior"
Bulls On Parade,Rage Against The Machine,01/01/1996,3824433333,"Stone Temple Pilots, Metallica, Pearl Jam, Linkin Park, Foo Fighters"
Long Train Runnin',The Doobie Brothers,01/01/1973,3454433333,Fleetwood Mac
In-A-Gadda-Da-Vida - Single Version,Iron Butterfly,01/01/1993,2899766667,"Loverboy, Cinderella, The Goo Goo Dolls"
All My Love - 1990 Remaster,Led Zeppelin,01/01/1979,5854433333,"Status Quo, AC/DC, The Police, Eddie Money, Asia"
Black Water - Single Version,The Doobie Brothers,01/01/1976,3078-01-08,"Elvis Costello, Electric Light Orchestra, Bad Company, Pink Floyd"
Cold as Ice,Foreigner,01/01/1977,3342883333,"Heart, Crosby, Stills, Nash & Young, Queen"
Running on Empty,Jackson Browne,01/01/1978,4864883333,"David Bowie, Queen, Patti Smith"
Fame - 2016 Remaster,David Bowie,01/01/1975,4356216667,"Elton John, Black Sabbath, Marvin Gaye"
Crazy,Gnarls Barkley,01/01/2006,3034433333,"Thirty Seconds To Mars, Crossfade, 3 Doors Down, Silversun Pickups, Adele"
Wonderful Tonight,Eric Clapton,01/01/1977,3750433333,"Pink Floyd, Eagles, John Denver, Pink Floyd"
I Want To Hold Your Hand - Remastered 2015,The Beatles,01/01/2000,4291-02-01,"Train, Creed, Creed, Red Hot Chili Peppers"
Don't Stop Believin',Journey,01/01/2001,4148433333,"Tenacious D, Foo Fighters, Evanescence"
Stayin a Live,Super Tamarindo All Stars,01/01/2014,2025-04-04,"The Crazy Horses, Earth Tongue"
Killer Queen - Remastered 2011,Queen,01/01/1974,2993333333,"Jackson Browne, Black Sabbath"
Feel like Makin' Love - 2015 Remaster,Bad Company,01/01/1975,5230666667,"Seals and Crofts, Jethro Tull, Queen, Nazareth"
Crawling,Linkin Park,01/01/2000,3482666667,"George Michael, TOOL, The Verve, Cake, The Specials"
Crazy Little Thing Called Love - Remastered 2011,Queen,01/01/1980,2722883333,"Tom Petty and the Heartbreakers, Steve Perry, Patti Smith, The Police, Billy Idol"
Little Wing,Jimi Hendrix,01/01/1967,4291-02-01,David Bowie
For Those About to Rock (We Salute You),AC/DC,01/01/1981,5737333333,
I Got You (I Feel Good),James Brown & The Famous Flames,01/01/1966,2763333333,"The Mamas & The Papas, Janis Joplin"
Green Onions,Booker T. & the M.G.'s,01/01/1962,2938883333,
Misty Mountain Hop - Alternate Mix,Led Zeppelin,01/01/1971,4750883333,"John Mayall, Bachman-Turner Overdrive, Badfinger"
Takin' Care Of Business,Bachman-Turner Overdrive,01/01/1973,3222-10-30,"Todd Rundgren, Fleetwood Mac, Chicago, Elvin Bishop"
The Spirit Of Radio,Rush,01/01/1980,9411-04-01,Talking Heads
Run Like Hell,Pink Floyd,01/01/1979,4392883333,"Linda Ronstadt, Bruce Springsteen"
Voodoo Child (Slight Return),Jimi Hendrix,01/01/1968,5222883333,"Grand Funk Railroad, The Searchers, Led Zeppelin, James Gang, Led Zeppelin"
Santeria,Sublime,01/01/1996,3045766667,"Alice In Chains, R.E.M., The Smashing Pumpkins, Creed"
Young Lust,Pink Floyd,01/01/1979,3499266667,"Loverboy, Aerosmith, The Rolling Stones, 10cc"
I Alone,Live,01/01/1994,3852216667,
Give A Little Bit,Supertramp,01/01/1977,4136216667,
Soul to Squeeze,Red Hot Chili Peppers,01/01/2003,3221-03-09,"Five For Fighting, Sam Cooke, Robbie Williams, Coldplay, Coldplay"
A Horse with No Name,America,01/01/1972,4203983333,"Elton John, Aerosmith"
With A Little Help From My Friends - Remastered 2009,The Beatles,01/01/1967,7351-02-01,"The Doors, Van Morrison, Four Tops, Johnny Cash"
Kiss,Prince,01/01/1986,3770666667,"Tracy Chapman, Sting"
Iris,The Goo Goo Dolls,01/01/2007,4831766667,"Green Day, The Black Keys, Sara Bareilles, Thirty Seconds To Mars, Linkin Park"
No Rain,Blind Melon,01/01/1992,3618433333,"Collective Soul, Marcy Playground"
Wild Thing,The Troggs,01/01/1966,2588883333,"Three Dog Night, Badfinger, Four Tops"
Rock Around The Clock,Bill Haley & His Comets,01/01/1968,2283333333,"Blood, Sweat & Tears, The Beatles, Black Sabbath"
The Distance,Cake,01/01/1996,2994216667,"Texas, Creed"
Ashes to Ashes - 2017 Remaster,David Bowie,01/01/1980,1912-02-22,"The Clash, Eddie Money, Phil Collins, Bob Seger"
Stand by Me,Ben E. King,01/01/1962,3000916667,"The Beatles, The Beatles, The Righteous Brothers, Bob Dylan"
Who'll Stop The Rain,Creedence Clearwater Revival,01/01/1970,2458216667,"Bachman-Turner Overdrive, The Beatles, The Zombies"
Crazy On You,Heart,01/01/1975,4890666667,"Ace, The Rolling Stones"
Holiday,Green Day,01/01/2017,1910-08-13,The Script
Sad But True,Metallica,01/01/1991,5398883333,"The Smashing Pumpkins, U2, Starship, Beastie Boys, Korn"
Owner of a Lonely Heart,Yes,01/01/1983,4751-04-01,"Molly Hatchet, Falco, The Undertones, Judas Priest"
We've Gotta Get out of This Place,The Animals,01/01/1987,1908-10-18,
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Various Artists,01/01/1998,4979333333,"Godsmack, The Beatles, Audioslave, Shinedown"
Wanted Dead Or Alive,Bon Jovi,01/01/1986,5144433333,
Otherside,Red Hot Chili Peppers,01/01/1999,4256216667,"The Goo Goo Dolls, Linkin Park"
What's The Frequency,R.E.M.,01/01/1994,4006666667,
"Bizarre Love Triangle - 7"" Remix",Various Artists,01/01/2020,3752883333,"Grindhouse Hotel, Block Buster, Cold Chisel"
Learn to Fly,Foo Fighters,01/01/1999,2973-09-05,"Rage Against The Machine, Third Eye Blind, New Found Glory, Rage Against The Machine, A Perfect Circle"
Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,01/01/1967,3474433333,"Neil Young, James Taylor, Elton John, Jefferson Airplane"
Judith,A Perfect Circle,01/01/2000,1211-04-01,"Weezer, Kenny Loggins, Neutral Milk Hotel, Gorillaz"
25 or 6 to 4 - 2002 Remaster,Chicago,01/01/1970,4.83,Uriah Heep
Have You Ever Seen The Rain,Creedence Clearwater Revival,01/01/1970,2668883333,Hot Chocolate
Limelight,Rush,01/01/1981,3085-09-08,"The Clash, Metallica, Men At Work, Van Halen, AC/DC"
Breaking the Habit,Linkin Park,01/01/2003,3281766667,"Barrett Strong, Wolfmother, Nickelback"
The Final Countdown,Europe,01/01/1986,5172216667,"Depeche Mode, Simple Minds, Phil Collins, The Police, The Black Crowes"
Lovesong - 2010 Remaster,The Cure,01/01/1989,3492883333,They Might Be Giants
The Hand That Feeds,Nine Inch Nails,01/01/2005,1909-08-28,
Locomotive Breath,Jethro Tull,01/01/1971,3113-11-11,"Crosby, Stills, Nash & Young, Cream, Dr. John, Foghat"
Love Her Madly,The Doors,01/01/1971,3307766667,"Steve Miller Band, David Bowie"
Crossroads - Live,Cream,01/01/1968,4307766667,"Santana, Jethro Tull, The Rolling Stones"
Desire,U2,01/01/1988,2989333333,"The Commitments, Primal Scream, Genesis, Tears For Fears, The Black Crowes"
Fire - Live In Maui,Jimi Hendrix,01/01/2020,7171-03-01,"Amyl and The Sniffers, Thee Oh Sees, King Gizzard & The Lizard Wizard, Sleeper"
With Arms Wide Open,Various Artists,01/01/2020,4578433333,"Young Nudy, Ty Segall"
Psycho,Puddle Of Mudd,01/01/2007,3510883333,"Korn, Paramore, Korn, Disturbed, The Naked And Famous"
Ramblin' Man,Allman Brothers Band,01/01/1989,4808433333,"Ozzy Osbourne, Tracy Chapman, 10,000 Maniacs, Bon Jovi, Green Day"
Shine,Collective Soul,01/01/1994,5100666667,"Nick Cave & The Bad Seeds, Firehouse, Nirvana, Radiohead"
Hound Dog,Elvis Presley,01/01/1958,2671-02-01,
Suspicious Minds,Elvis Presley,01/01/1969,3092-04-04,"Marvin Gaye, Bob Dylan, Crosby, Stills & Nash, The Beatles, Neil Young"
More Human Than Human,White Zombie,01/01/1995,4479333333,
In Your Eyes - 2012 Remaster,Peter Gabriel,01/01/1986,5506216667,"Accept, Jon Bon Jovi, Stevie Nicks, Violent Femmes, Talking Heads"
We're An American Band - Remastered 2002,Grand Funk Railroad,01/01/1973,2844-12-30,"The Kinks, UFO, Led Zeppelin, ABBA, Raspberries"
Evil Ways,Santana,01/01/1969,9711-03-01,"Small Faces, Black Sabbath, The Beatles, The Beatles"
Re-Education (Through Labor),Rise Against,01/01/2008,2915-02-02,"Halestorm, Lamb of God"
The Man Who Sold The World,Nirvana,01/01/1994,3091-05-30,"Pearl Jam, Korn"
