index,name,artist,release_date,length,featured_artists
291,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,1992,4.666666667,
292,Message In A Bottle,The Police,1979,4.838,
293,Heartbreaker - 1990 Remaster,Led Zeppelin,1969,4.23555,"The Beatles, The Supremes, Elton John, The Yardbirds, The Doors"
294,Don't Speak,No Doubt,1995,4.392666667,"U2, TOOL, Nirvana"
295,Dazed and Confused - 1990 Remaster,Led Zeppelin,1969,6.43955,
296,"Hello, I Love You",The Doors,1968,2.22,"Jimi Hendrix, Nancy Sinatra, The Spencer Davis Group, George Harrison"
297,Take It Easy - 2013 Remaster,Eagles,1972,3.526283333,"Yusuf / Cat Stevens, Black Sabbath, Hot Chocolate, The Doors, Alice Cooper"
298,Beast Of Burden - Remastered,The Rolling Stones,1978,4.41955,"Yes, Bob Dylan, The Clash"
299,Man in the Box,Alice In Chains,1990,4.753333333,"Depeche Mode, The B-52's, Bon Jovi"
300,Ohio,"Crosby, Stills, Nash & Young",1974,3.062216667,David Bowie
301,I Won't Back Down,Tom Petty,1989,2.972666667,"Blind Melon, Phil Collins, Scorpions, Weezer"
302,War Pigs / Luke's Wall - 2012 - Remaster,Black Sabbath,1970,7.905983333,"The Beatles, Parliament, The Velvet Underground, Steely Dan"
303,Solsbury Hill,Peter Gabriel,1977,4.357333333,The Cure
304,Legs - 2008 Remaster,ZZ Top,1983,4.5651,"Van Halen, David Lee Roth, The Smiths, Ramones, R.E.M."
305,Are You Gonna Be My Girl,Jet,2003,3.563333333,Limp Bizkit
306,Say It Ain't So,Weezer,1994,4.313766667,
307,She Sells Sanctuary,The Cult,2000,4.208883333,No Doubt
308,Iron Man - 2012 - Remaster,Black Sabbath,1970,5.921716667,"David Bowie, Bob Dylan, Cream, Chicago, The Beatles"
309,Cannonball,The Breeders,1993,3.56155,"The Verve, The Cure, Primal Scream, Metallica, Orgy"
310,Maybe I'm Amazed - Live,Paul McCartney,2003,4.808883333,
311,Can't Stop,Red Hot Chili Peppers,2002,4.483333333,"AFI, System Of A Down, Kenny Loggins, Linkin Park, Jet"
312,She Loves You - Mono / Remastered,The Beatles,2000,2.348666667,
313,Hash Pipe,Weezer,2001,3.108883333,"TOOL, The Strokes, Dashboard Confessional, Live, Nirvana"
314,Hallelujah,Jeff Buckley,1994,6.888666667,
315,Bad To The Bone,George Thorogood & The Destroyers,1982,4.86955,"Bryan Adams, Metallica"
316,Freak On a Leash,Korn,1998,4.262216667,
317,Somebody Told Me,The Killers,2004,3.286,"Breaking Benjamin, Nine Days, New Found Glory, System Of A Down"
318,Reelin' In The Years,Steely Dan,1972,4.5911,"Black Sabbath, Boston, George Harrison"
319,Band On The Run - Remastered 2010,Wings,1973,5.2171,"Elton John, 10cc, Dragon, Led Zeppelin, The Beatles"
320,Enjoy the Silence - Single Mix,Depeche Mode,1990,4.288883333,"Metallica, Anthrax"
321,Mr. Jones,Counting Crows,1993,4.538216667,"Aerosmith, System Of A Down, Metallica"
322,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,1965,2.078216667,"Blind Faith, David Bowie"
323,Self Esteem,The Offspring,2005,4.296,"Deee-Lite, The Killers, The Temper Trap, Avenged Sevenfold, Linkin Park"
324,All the Young Dudes,Mott The Hoople,1972,3.517766667,"Elton John, Creedence Clearwater Revival, Led Zeppelin, Queen"
325,The Logical Song - Remastered 2010,Supertramp,1979,4.18755,
326,Ticket To Ride - Remastered 2009,The Beatles,1965,3.161333333,"Derek & The Dominos, Bob Seger"
327,Disarm - Remastered,The Smashing Pumpkins,1993,3.28175,"Yo La Tengo, Pearl Jam"
328,What's My Age Again?,blink-182,1999,2.476216667,"Schtum, Shania Twain, Queen"
329,Fly Away,Lenny Kravitz,1998,3.688866667,"Powerman 5000, Audioslave, Deftones, blink-182, Neutral Milk Hotel"
330,Starlight,Muse,2006,4.00355,"Evanescence, The Red Jumpsuit Apparatus, Thirty Seconds To Mars, Foster The People, All That Remains"
331,Fool in the Rain - 1990 Remaster,Led Zeppelin,1979,6.214883333,"Van Halen, Dire Straits, The Psychedelic Furs, Twisted Sister"
332,I Heard It Through The Grapevine,Marvin Gaye,1968,3.238216667,"Bee Gees, The Beatles"
333,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,2008,4.56,
334,Daughter (Remastered),Pearl Jam,1993,3.90555,
335,Rooster,Alice In Chains,1992,6.238883333,"Jon Bon Jovi, Yo La Tengo"
336,Runnin' Down A Dream,Tom Petty,2019,4.36355,Green Day
337,Heart Of Glass - Special Mix,Blondie,2002,4.537766667,Manic Street Preachers
338,I Can't Explain - Mono Version,The Who,1965,2.088666667,"Procol Harum, The Rolling Stones"
339,You Give Love A Bad Name,Bon Jovi,1986,3.711766667,"Guns N' Roses, Van Halen, Tom Cochrane"
340,Down with the Sickness,Disturbed,2010,4.6451,"Billy Talent, Breaking Benjamin"
341,You Really Got Me - 2015 Remaster,Van Halen,1978,2.602433333,Cheap Trick
342,The Pot,TOOL,2006,6.365766667,
343,Fell In Love With a Girl,The White Stripes,2001,1.834883333,Jet
344,Old Time Rock & Roll,Bob Seger,1978,3.235766667,"The Doobie Brothers, Dire Straits"
345,Gimme Some Lovin' - Single Mix,The Spencer Davis Group,1966,2.980666667,"Elvis Presley, Marvin Gaye, Mountain"
346,Jack & Diane,John Mellencamp,1982,4.24155,"Bob Marley & The Wailers, Eric Clapton"
347,Werewolves of London - 2007 Remaster,Warren Zevon,1978,3.4911,Jimmy Buffett
348,My Sharona,The Knack,1979,4.923333333,"The Cars, Boston, The Clash, Queen, Elton John"
349,My Hero,Foo Fighters,1997,4.333766667,"Natalie Imbruglia, Trapt, The Presidents Of The United States Of America, Jimmy Eat World"
350,Tutti Frutti,Little Richard,1957,2.403766667,
351,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,1976,5.020433333,"Bob Seger, Steve Harley, The Rolling Stones"
352,Hush,Deep Purple,1968,4.416216667,
353,Down On The Corner,Creedence Clearwater Revival,1969,2.771333333,
354,The Beautiful People,Marilyn Manson,1996,3.6471,"Pearl Jam, Spin Doctors, Journey, Butthole Surfers, Santana"
355,Jailhouse Rock,Elvis Presley,1958,2.441333333,"Booker T. & the M.G.'s, Little Richard, Roy Orbison, Ray Charles, The Beatles"
356,Break on Through (To the Other Side),The Doors,1967,2.4311,Chicago
357,Longview,Green Day,1994,3.887333333,"Collective Soul, Alanis Morissette, Pearl Jam"
358,Billie Jean,Michael Jackson,1982,4.8971,"Heart, Eurythmics, Bryan Adams, Wham!, The Knack"
359,Zombie,The Cranberries,1994,5.1071,"Nirvana, Macy Gray, Phil Collins, Bon Jovi, 4 Non Blondes"
360,Boys Don't Cry,The Cure,1979,2.59955,"Van Halen, Bob Seger, Talk Talk"
361,What I Got,Sublime,1996,2.848433333,"Pantera, The Beatles, Nirvana, Wet Wet Wet, TOOL"
362,Here Comes The Sun - Remastered 2009,The Beatles,1969,3.09555,"Steve Miller Band, The Rolling Stones"
363,Do You Feel Like We Do,Peter Frampton,1996,13.91443333,R.E.M.
364,Piano Man,Billy Joel,1973,5.65,The Velvet Underground
365,Glycerine - Remastered,Bush,1994,4.44155,
366,D'yer Mak'er - Remaster,Led Zeppelin,1973,4.379133333,"The Rolling Stones, David Bowie, Van Halen"
367,Island In The Sun,Weezer,2001,3.338433333,"My Chemical Romance, Blur"
368,Run to the Hills - 2015 Remaster,Iron Maiden,1982,3.891766667,
369,Roundabout - 2003 Remaster,Yes,1971,8.50955,
370,Aerials,System Of A Down,2001,3.91755,
371,About A Girl,Nirvana,2002,2.777333333,"Natalie Imbruglia, Limp Bizkit, Rancid, Savage Garden, The Offspring"
372,When You Were Young,The Killers,2006,3.673766667,
373,Brain Damage / Eclipse,Vitamin String Quartet,2003,5.20555,
374,When Doves Cry,Prince,1984,5.881766667,"Living Colour, U2, Dead Kennedys, Pretenders"
375,Cinnamon Girl,The Crazy Horses,2013,2.89,"Rock Angels, Marvin Gaye, Ty Segall, Goldfrapp, The Karaoke Channel"
376,Us and Them,Pink Floyd,1973,7.8204,"Al Green, Santana, Led Zeppelin, Bill Withers"
377,Foreplay / Long Time,Boston,1976,7.794,"Electric Light Orchestra, Linda Ronstadt, Murray Head, Peter Frampton"
378,Dreams,Fleetwood Mac,1988,4.240883333,
379,Psycho Killer - 2005 Remaster,Talking Heads,1977,4.356883333,"The Police, Foreigner, Fleetwood Mac"
380,Subterranean Homesick Blues,Bob Dylan,1965,2.354883333,
381,Alive - 2006 Remaster,P.O.D.,2006,3.394883333,"Arctic Monkeys, Hot Action Cop"
382,I Can See For Miles,The Who,1967,4.143633333,Smokey Robinson & The Miracles
383,Panama - 2015 Remaster,Van Halen,1984,3.503766667,"Twisted Sister, Living Colour, Iron Maiden, Pretenders"
384,Just like Heaven,The Cure,1987,3.533333333,"John Mellencamp, Pantera, Megadeth"
385,Hot for Teacher - 2015 Remaster,Van Halen,1984,4.712433333,Neil Young
386,Spoonman,Soundgarden,1994,4.115333333,Radiohead
387,Tush - 2006 Remaster,ZZ Top,1975,2.298883333,Australian Crawl
388,Feel Good Inc.,Gorillaz,2005,3.710666667,Gloria Gaynor
389,Eight Miles High,The Byrds,1966,3.577333333,"Cream, Jethro Tull, The Beatles"
390,Hurricane,Bob Dylan,1976,8.54555,"KISS, Lynyrd Skynyrd, Steely Dan, ABBA, KISS"
391,Your Song,Elton John,1970,4.029766667,"John Lennon, Otis Redding, Led Zeppelin"
392,Oye Como Va,Santana,1970,4.282216667,
393,Janie's Got A Gun,Aerosmith,1994,5.493766667,"Orgy, Butthole Surfers, Beck"
394,Life's Been Good,Joe Walsh,1978,8.9371,Jim Croce
395,Waterloo Sunset - Mono Mix,The Kinks,1967,3.236933333,"Eagles, Cream, Steely Dan, The Doors, The Lovin' Spoonful"
396,Frankenstein,Edgar Winter,2002,4.76,"Green Day, Cake, Fuel, Elvis Presley, Bernard Fanning"
397,Let's Stay Together,Al Green,1972,3.323266667,"Otis Redding, Foreigner, Barry Manilow, Heart"
398,Radio Free Europe,R.E.M.,1983,4.086666667,"The Cult, Def Leppard"
399,Fly Like An Eagle,Steve Miller Band,1976,4.71155,"Wild Cherry, The Rolling Stones"
400,Use Somebody,Kings of Leon,2008,3.846,"fun., Gorillaz, The Black Keys, Sara Bareilles"
401,Kryptonite,3 Doors Down,2000,3.898883333,Audioslave
402,Penny Lane - Remastered 2009,The Beatles,1967,3.014883333,"Al Green, Janis Joplin, David Bowie, Frankie Valli & The Four Seasons"
403,Night Moves,Bob Seger,1976,5.407033333,
404,Yellow Ledbetter,Pearl Jam,1991,5.059766667,Heart
405,Where It's At,Beck,1996,5.515766667,"The Beta Band, Drowning Pool, Sublime, Days Of The New, Badly Drawn Boy"
406,Call Me,Blondie,2004,3.5371,"Rage Against The Machine, The Flaming Lips, Yellowcard, U2, Muse"
407,California Dreamin' - Single Version,The Mamas & The Papas,1966,2.706216667,"The Band, The Who"
408,Bat Out of Hell,Meat Loaf,1977,9.833333333,"U2, KISS"
409,Like a Prayer,Madonna,2009,5.711333333,"The Strokes, Kings of Leon, Deee-Lite"
410,The Unforgiven,Metallica,1991,6.452216667,
411,Purple Rain,Prince,1984,8.679766667,
412,Love In An Elevator - Single Version,Aerosmith,1994,5.363766667,"Everclear, Bush, Van Halen, blink-182, The Stranglers"
413,Blurry,Puddle Of Mudd,2001,5.066666667,"Alien Ant Farm, The Strokes, Linkin Park, My Chemical Romance"
414,The Sound of Silence - Acoustic Version,Simon & Garfunkel,1964,3.090216667,"Jefferson Airplane, Bob Dylan"
415,Miss You - Live,The Rolling Stones,2019,16.36443333,"Ghost King, Amparanoia, Block Buster"
416,Slither,Velvet Revolver,2004,4.138433333,"Papa Roach, Sum 41, Linkin Park, Limp Bizkit"
417,Gimme All Your Lovin',ZZ Top,1992,3.999766667,The Rolling Stones
418,Cochise,Audioslave,2002,3.700433333,"Arctic Monkeys, Queens of the Stone Age, Paramore, Junior Senior"
419,Bulls On Parade,Rage Against The Machine,1996,3.824433333,"Stone Temple Pilots, Metallica, Pearl Jam, Linkin Park, Foo Fighters"
420,Long Train Runnin',The Doobie Brothers,1973,3.454433333,Fleetwood Mac
421,In-A-Gadda-Da-Vida - Single Version,Iron Butterfly,1993,2.899766667,"Loverboy, Cinderella, The Goo Goo Dolls"
422,All My Love - 1990 Remaster,Led Zeppelin,1979,5.854433333,"Status Quo, AC/DC, The Police, Eddie Money, Asia"
423,Black Water - Single Version,The Doobie Brothers,1976,4.30265,"Elvis Costello, Electric Light Orchestra, Bad Company, Pink Floyd"
424,Cold as Ice,Foreigner,1977,3.342883333,"Heart, Crosby, Stills, Nash & Young, Queen"
425,Running on Empty,Jackson Browne,1978,4.864883333,"David Bowie, Queen, Patti Smith"
426,Fame - 2016 Remaster,David Bowie,1975,4.356216667,"Elton John, Black Sabbath, Marvin Gaye"
427,Crazy,Gnarls Barkley,2006,3.034433333,"Thirty Seconds To Mars, Crossfade, 3 Doors Down, Silversun Pickups, Adele"
428,Wonderful Tonight,Eric Clapton,1977,3.750433333,"Pink Floyd, Eagles, John Denver, Pink Floyd"
429,I Want To Hold Your Hand - Remastered 2015,The Beatles,2000,2.4291,"Train, Creed, Creed, Red Hot Chili Peppers"
430,Don't Stop Believin',Journey,2001,4.148433333,"Tenacious D, Foo Fighters, Evanescence"
431,Stayin a Live,Super Tamarindo All Stars,2014,4.4,"The Crazy Horses, Earth Tongue"
432,Killer Queen - Remastered 2011,Queen,1974,2.993333333,"Jackson Browne, Black Sabbath"
433,Feel like Makin' Love - 2015 Remaster,Bad Company,1975,5.230666667,"Seals and Crofts, Jethro Tull, Queen, Nazareth"
434,Crawling,Linkin Park,2000,3.482666667,"George Michael, TOOL, The Verve, Cake, The Specials"
435,Crazy Little Thing Called Love - Remastered 2011,Queen,1980,2.722883333,"Tom Petty and the Heartbreakers, Steve Perry, Patti Smith, The Police, Billy Idol"
436,Little Wing,Jimi Hendrix,1967,2.4291,David Bowie
437,For Those About to Rock (We Salute You),AC/DC,1981,5.737333333,
438,I Got You (I Feel Good),James Brown & The Famous Flames,1966,2.763333333,"The Mamas & The Papas, Janis Joplin"
439,Green Onions,Booker T. & the M.G.'s,1962,2.938883333,
440,Misty Mountain Hop - Alternate Mix,Led Zeppelin,1971,4.750883333,"John Mayall, Bachman-Turner Overdrive, Badfinger"
441,Takin' Care Of Business,Bachman-Turner Overdrive,1973,4.83155,"Todd Rundgren, Fleetwood Mac, Chicago, Elvin Bishop"
442,The Spirit Of Radio,Rush,1980,4.9411,Talking Heads
443,Run Like Hell,Pink Floyd,1979,4.392883333,"Linda Ronstadt, Bruce Springsteen"
444,Voodoo Child (Slight Return),Jimi Hendrix,1968,5.222883333,"Grand Funk Railroad, The Searchers, Led Zeppelin, James Gang, Led Zeppelin"
445,Santeria,Sublime,1996,3.045766667,"Alice In Chains, R.E.M., The Smashing Pumpkins, Creed"
446,Young Lust,Pink Floyd,1979,3.499266667,"Loverboy, Aerosmith, The Rolling Stones, 10cc"
447,I Alone,Live,1994,3.852216667,
448,Give A Little Bit,Supertramp,1977,4.136216667,
449,Soul to Squeeze,Red Hot Chili Peppers,2003,4.82555,"Five For Fighting, Sam Cooke, Robbie Williams, Coldplay, Coldplay"
450,A Horse with No Name,America,1972,4.203983333,"Elton John, Aerosmith"
451,With A Little Help From My Friends - Remastered 2009,The Beatles,1967,2.7351,"The Doors, Van Morrison, Four Tops, Johnny Cash"
452,Kiss,Prince,1986,3.770666667,"Tracy Chapman, Sting"
453,Iris,The Goo Goo Dolls,2007,4.831766667,"Green Day, The Black Keys, Sara Bareilles, Thirty Seconds To Mars, Linkin Park"
454,No Rain,Blind Melon,1992,3.618433333,"Collective Soul, Marcy Playground"
455,Wild Thing,The Troggs,1966,2.588883333,"Three Dog Night, Badfinger, Four Tops"
456,Rock Around The Clock,Bill Haley & His Comets,1968,2.283333333,"Blood, Sweat & Tears, The Beatles, Black Sabbath"
457,The Distance,Cake,1996,2.994216667,"Texas, Creed"
458,Ashes to Ashes - 2017 Remaster,David Bowie,1980,4.436,"The Clash, Eddie Money, Phil Collins, Bob Seger"
459,Stand by Me,Ben E. King,1962,3.000916667,"The Beatles, The Beatles, The Righteous Brothers, Bob Dylan"
460,Who'll Stop The Rain,Creedence Clearwater Revival,1970,2.458216667,"Bachman-Turner Overdrive, The Beatles, The Zombies"
461,Crazy On You,Heart,1975,4.890666667,"Ace, The Rolling Stones"
462,Holiday,Green Day,2017,3.878,The Script
463,Sad But True,Metallica,1991,5.398883333,"The Smashing Pumpkins, U2, Starship, Beastie Boys, Korn"
464,Owner of a Lonely Heart,Yes,1983,4.4751,"Molly Hatchet, Falco, The Undertones, Judas Priest"
465,We've Gotta Get out of This Place,The Animals,1987,3.214,
466,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Various Artists,1998,4.979333333,"Godsmack, The Beatles, Audioslave, Shinedown"
467,Wanted Dead Or Alive,Bon Jovi,1986,5.144433333,
468,Otherside,Red Hot Chili Peppers,1999,4.256216667,"The Goo Goo Dolls, Linkin Park"
469,"What's The Frequency, Kenneth?",R.E.M.,1994,4.006666667,
470,"Bizarre Love Triangle - 7"" Remix",Various Artists,2020,3.752883333,"Grindhouse Hotel, Block Buster, Cold Chisel"
471,Learn to Fly,Foo Fighters,1999,3.92155,"Rage Against The Machine, Third Eye Blind, New Found Glory, Rage Against The Machine, A Perfect Circle"
472,Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,1967,3.474433333,"Neil Young, James Taylor, Elton John, Jefferson Airplane"
473,Judith,A Perfect Circle,2000,4.1211,"Weezer, Kenny Loggins, Neutral Milk Hotel, Gorillaz"
474,25 or 6 to 4 - 2002 Remaster,Chicago,1970,4.83,Uriah Heep
475,Have You Ever Seen The Rain,Creedence Clearwater Revival,1970,2.668883333,Hot Chocolate
476,Limelight,Rush,1981,4.33065,"The Clash, Metallica, Men At Work, Van Halen, AC/DC"
477,Breaking the Habit,Linkin Park,2003,3.281766667,"Barrett Strong, Wolfmother, Nickelback"
478,The Final Countdown,Europe,1986,5.172216667,"Depeche Mode, Simple Minds, Phil Collins, The Police, The Black Crowes"
479,Lovesong - 2010 Remaster,The Cure,1989,3.492883333,They Might Be Giants
480,The Hand That Feeds,Nine Inch Nails,2005,3.528,
481,Locomotive Breath,Jethro Tull,1971,4.43355,"Crosby, Stills, Nash & Young, Cream, Dr. John, Foghat"
482,Love Her Madly,The Doors,1971,3.307766667,"Steve Miller Band, David Bowie"
483,Crossroads - Live,Cream,1968,4.307766667,"Santana, Jethro Tull, The Rolling Stones"
484,Desire,U2,1988,2.989333333,"The Commitments, Primal Scream, Genesis, Tears For Fears, The Black Crowes"
485,"Fire - Live In Maui, 1970",Jimi Hendrix,2020,3.7171,"Amyl and The Sniffers, Thee Oh Sees, King Gizzard & The Lizard Wizard, Sleeper"
486,With Arms Wide Open,Various Artists,2020,4.578433333,"Young Nudy, Ty Segall"
487,Psycho,Puddle Of Mudd,2007,3.510883333,"Korn, Paramore, Korn, Disturbed, The Naked And Famous"
488,Ramblin' Man,Allman Brothers Band,1989,4.808433333,"Ozzy Osbourne, Tracy Chapman, 10,000 Maniacs, Bon Jovi, Green Day"
489,Shine,Collective Soul,1994,5.100666667,"Nick Cave & The Bad Seeds, Firehouse, Nirvana, Radiohead"
490,Hound Dog,Elvis Presley,1958,2.2671,
491,Suspicious Minds,Elvis Presley,1969,4.35465,"Marvin Gaye, Bob Dylan, Crosby, Stills & Nash, The Beatles, Neil Young"
492,More Human Than Human,White Zombie,1995,4.479333333,
493,In Your Eyes - 2012 Remaster,Peter Gabriel,1986,5.506216667,"Accept, Jon Bon Jovi, Stevie Nicks, Violent Femmes, Talking Heads"
494,We're An American Band - Remastered 2002,Grand Funk Railroad,1973,3.45155,"The Kinks, UFO, Led Zeppelin, ABBA, Raspberries"
495,Evil Ways,Santana,1969,3.9711,"Small Faces, Black Sabbath, The Beatles, The Beatles"
496,Re-Education (Through Labor),Rise Against,2008,3.70755,"Halestorm, Lamb of God"
497,The Man Who Sold The World,Nirvana,1994,4.35155,"Pearl Jam, Korn"
498,Old Man - 2009 Remaster,Neil Young,1972,3.3691,"Joni Mitchell, Big Brother & The Holding Company, The Beatles, Elvis Costello, Pink Floyd"
499,Mr. Tambourine Man,The Byrds,1965,2.4911,"The Beach Boys, Led Zeppelin"
500,I Was Made For Lovin' You,KISS,1979,4.520666667,
501,Santa Monica,Everclear,1995,3.191766667,Nada Surf
502,Take on Me,a-ha,1985,3.754666667,"Elton John, Simple Minds, AC/DC, Motörhead, Bruce Springsteen"
503,Crying,Roy Orbison,1962,2.774433333,"The Shirelles, Jefferson Airplane"
504,Rebel Rebel - 2016 Remaster,David Bowie,1974,4.5791,
505,The Wind Cries Mary,Jimi Hendrix,1967,3.34555,"The Moody Blues, Van Morrison, Frankie Valli & The Four Seasons"
506,Tainted Love,Soft Cell,1981,2.564,"Thin Lizzy, Violent Femmes"
507,Somewhere I Belong,Linkin Park,2003,3.56555,
508,Brothers in Arms,Dire Straits,1985,6.99,
509,Can't Help Falling In Love (Elvis Presley cover),Various Artists,2011,2.812433333,"Midifine Systems, Boggle Karaoke, Ultramarine"
510,Twist And Shout - Remastered 2009,The Beatles,1963,2.5871,"Jerry Lee Lewis, Elvis Presley, Chuck Berry, The Kinks, Jimi Hendrix"
511,Megalomaniac,Incubus,2004,4.913333333,"Dead Kennedys, Nickelback"
512,Blowin' in the Wind,Bob Dylan,1963,2.7571,
513,China Grove,The Doobie Brothers,1973,3.2551,
514,Goodbye Yellow Brick Road - Remastered 2014,Elton John,1973,3.213766667,"Alice Cooper, Thunderclap Newman"
515,Low Rider,War,1975,3.192666667,"Lynyrd Skynyrd, Faces, Allman Brothers Band, Al Stewart"
516,So Cold - Remix,Breaking Benjamin,2004,4.557333333,"Lit, Everclear, Linkin Park"
